t,x,y,v,r,psi,sa,ux,ax,sr,jx
0.0,200.0,0.0,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.0,200.0,0.0,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.025,200.0000000000006,0.12500000000000044,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.05,200.00000000000122,0.24999999999999997,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.075,200.00000000000182,0.37500000000000006,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.1,200.00000000000244,0.5000000000000002,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.125,200.00000000000307,0.6250000000000002,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.15,200.00000000000367,0.7500000000000002,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.175,200.0000000000043,0.8749999999999996,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.2,200.0000000000049,0.999999999999998,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.225,200.0000000000055,1.1249999999999996,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.25,200.0000000000061,1.249999999999998,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.275,200.00000000000674,1.3749999999999958,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.3,200.00000000000733,1.4999999999999942,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.325,200.00000000000796,1.6250000000000004,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.35,200.00000000000855,1.7499999999999927,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.375,200.00000000000918,1.8749999999999996,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.4,200.00000000000978,1.9999999999999996,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.425,200.0000000000104,2.124999999999999,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.45,200.000000000011,2.2500000000000004,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.475,200.00000000001162,2.374999999999999,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.5,200.00000000001222,2.499999999999999,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.0,0.0
0.5,200.00000000001222,2.499999999999999,0.0,0.0,1.57079632679,0.0,5.0,0.0,0.05925534693458687,4.99999997911065
0.525,199.99998866734634,2.6250130208084075,0.000489375857502193,0.0005048820475735861,1.5708007343598,0.001448045270592896,5.001562499993625,0.12499999949614801,0.056588274712844916,4.999999980581199
0.55,199.9999188219589,2.7501041654215963,0.00169394020573909,0.0016968283751311968,1.5708272336361913,0.002829413735642253,5.006249999975114,0.2499999990290606,0.05392120249110296,4.999999982051747
0.575,199.99975269546985,2.875351551236064,0.0033302535021621947,0.003247894678710375,1.5708885326360833,0.004144105395148048,5.014062499945385,0.3749999985987357,0.051254130269361015,4.9999999835222955
0.6,199.99946701024308,3.0008332823001465,0.005217272092009752,0.004968136723095691,1.5709910174402646,0.005392120249110303,5.024999999905356,0.49999999820517516,0.04858705804761907,4.9999999849928445
0.625,199.99904731695372,3.1266274450572755,0.0072374398793901866,0.0067482370229654505,1.5711374246709138,0.0065734582975290065,5.039062499855949,0.6249999978483783,0.04591998582587711,4.999999986463392
0.65,199.99848458829322,3.25281210697703,0.009313074993701315,0.008525731664207848,1.5713284031272057,0.00768811954040416,5.056249999798082,0.7499999975283449,0.04325291360413516,4.999999987933941
0.675,199.9977732171724,3.379465317068627,0.0113922621151428,0.010265744160465313,1.571563395473206,0.00873610397773576,5.076562499732672,0.8749999972450755,0.04058584138239321,4.99999998940449
0.7,199.99690966015166,3.5066651072194728,0.01343923544724774,0.011948450911513924,1.5718412116827167,0.009717411609523812,5.099999999660641,0.9999999969985691,0.03791876916065127,4.999999990875038
0.725,199.99589183120156,3.634489494231497,0.015429732461080333,0.01356380642916828,1.572160256027877,0.010632042435768312,5.126562499582906,1.1249999967888256,0.03525169693890932,4.999999992345586
0.75,199.9947184116377,3.7630164425721953,0.017346696288889445,0.015106537234105637,1.5725187936516243,0.011482284397013733,5.156260269234992,1.25093030320787,0.03258462471716737,4.999999993816135
0.775,199.99338877022936,3.89232438492345,0.01917556718967417,0.01657157775215098,1.5729149462460466,0.01225290619720862,5.189056948353149,1.3715976717869929,0.02894362268090857,4.603987376511755
0.8,199.99190314547928,4.022488142388091,0.02089620675010512,0.017946109349727218,1.5733466158809923,0.012930264944387088,5.224747861250606,1.4814547239630291,0.025258348747352437,4.189973225908439
0.825,199.99026285498013,4.153576377210255,0.02248967499803189,0.01921757549554786,1.5738114054071843,0.013515657738901446,5.263050469508757,1.5810288777281982,0.02157307481379633,3.7759590753051238
0.85,199.98847029088955,4.285651127077111,0.023944871755642947,0.02038120960360986,1.5743066123313578,0.014008918685076898,5.303713052188973,1.670252677728284,0.0178878008802402,3.3619449247018065
0.875,199.98652831553835,4.418768013624268,0.025251821105064503,0.021431544455867722,1.5748295006651671,0.014410047782913453,5.346476850447129,1.749126123963288,0.014202526946684068,2.9479307740984897
0.9,199.98444037922647,4.552976194511314,0.026402454086884467,0.022363818338622277,1.5753772400364687,0.014719045032411103,5.391083105439096,1.817649216433209,0.01051725301312794,2.5339166234951733
0.925,199.98221080566412,4.688318368451471,0.027391759945088932,0.02317628017590493,1.575946759144646,0.01493591043356985,5.437273058320747,1.8758219551380468,0.006831979079571813,2.119902472891856
0.95,199.9798443166224,4.824830777321144,0.02821452873954016,0.02386540633009424,1.5765349912783249,0.015060643986389694,5.484787950247954,1.9236443400778007,0.003146705146015701,1.705888322288541
0.975,199.9773460150057,4.962543207124969,0.0288651091693695,0.024425640476390096,1.5771388852439716,0.015093245690870635,5.533369022376594,1.9611163712524737,-0.000538568787540428,1.2918741716852242
1.0,199.97472190625422,5.101478994762969,0.029339848953033775,0.02485369662568604,1.5777551558291019,0.015033715547012673,5.582757515862537,1.988238048662063,-0.004223842721096557,0.8778600210819074
1.0,199.97472190625422,5.101478994762969,0.029339848953033775,0.02485369662568604,1.5777551558291019,0.015033715547012673,5.582757515862537,1.988238048662063,-0.02527635274287044,0.3815651871858213
1.025,199.97198226760167,5.2416539904203345,0.029485896342329312,0.024996221691167483,1.5783790151832284,0.014405840058622343,5.632575668994928,1.996932713723068,-0.024953686328356244,0.3140080176945746
1.05,199.96914776281196,5.383075225559719,0.029246754383643617,0.024805680172833487,1.5790021774559544,0.013786031230594865,5.682590077138379,2.0039384495467916,-0.024631019913842048,0.24645084820332736
1.075,199.96623659486974,5.5257471900621296,0.028738072899771986,0.0244052425257867,1.5796176807181717,0.013174289062930238,5.732758517061957,2.009255256133234,-0.02430835349932785,0.17889367871208073
1.1,199.96326092679556,5.669673307491029,0.028037500668534592,0.023867201958688355,1.5802213213657106,0.012570613555628466,5.78303876553473,2.012883133482396,-0.023985687084813655,0.11133650922083344
1.125,199.96022971515808,5.814855942817984,0.027200925329985075,0.023238984924215413,1.580810255459471,0.011975004708689554,5.833388599325766,2.0148220815942763,-0.023663020670299455,0.04377933972958678
1.15,199.95714935683287,5.961296398393165,0.026266545263450278,0.022548797234987466,1.5813827238839815,0.011387462522113501,5.883765795204133,2.0150721004688754,-0.02334035425578526,-0.02377782976165982
1.175,199.95402511207845,6.108994920599929,0.025263705533244685,0.021817288211591086,1.5819373960119893,0.010807825974705958,5.934128500377211,2.0135961208352477,-0.023017687841271065,-0.09133499925290714
1.2,199.95086117664246,6.257950697369782,0.024213560097631592,0.021057840331458102,1.5824733659923635,0.010235585706347772,5.9844349601366895,2.010276881059952,-0.02269502142675687,-0.15889216874415374
1.225,199.94766085959031,6.408161862327117,0.023129619820570334,0.020276866178385096,1.582990100301121,0.009674291350143359,6.034636862013712,2.005931555005403,-0.02237235501224267,-0.22644933823540106
1.25,199.9444272761308,6.559625511497352,0.0220259026485034,0.01948309187163038,1.5834871207712027,0.009121179079476367,6.084710314029326,1.99992387216006,-0.021883340803922714,-0.2557109810710302
1.275,199.94116301015978,6.712338137955132,0.020911854956839192,0.018681383491201183,1.583964170800985,0.0085817126586566,6.134628339216859,1.993511665447218,-0.021273972861658594,-0.25726555595634143
1.3,199.93787023531482,6.8662958514665515,0.01979634452938182,0.017876849119305097,1.5844211668581185,0.008057480436393441,6.184385573431919,1.987060594362243,-0.02066460491939447,-0.2588201308416527
1.325,199.93455101770834,7.02149469444042,0.018687648743137632,0.01707505409415446,1.5848580462140627,0.007548482412686877,6.233981045065203,1.9805706589051353,-0.020055236977130353,-0.260374705726964
1.35,199.93120705329525,7.17793067951211,0.01759143069917286,0.016279300975791503,1.5852749055572983,0.007054718587536918,6.283413782507409,1.9740418590758948,-0.01944586903486623,-0.26192928061227516
1.375,199.92783966969205,7.335599788502395,0.01651084191935913,0.015490559072986142,1.5856720102971198,0.006576188960943564,6.332682814149231,1.9674741948745214,-0.018836501092602112,-0.26348385549758646
1.4,199.92445028701295,7.494497978958323,0.015449463412521604,0.014710979625717147,1.5860495662461278,0.006112893532906813,6.381787168381367,1.9608676663010154,-0.018227133150337995,-0.2650384303828977
1.425,199.9210403909933,7.654621183499319,0.014411163531874664,0.013943676074117535,1.586407733800332,0.0056646950477485455,6.430725871752913,1.9542241947325438,-0.01761776520807387,-0.266593005268209
1.45,199.91761108586957,7.815965300259055,0.013397550445833387,0.013189272834593552,1.5867468599064682,0.005231569760011192,6.479497894946216,1.94754411257051,-0.017008397265809754,-0.26814758015352025
1.475,199.9141634607046,7.978526209654183,0.012409227744653186,0.012447615688371938,1.587067300412959,0.004812554052804916,6.5281026647305875,1.9408409090309195,-0.01647982739770347,-0.26857110110375004
1.5,199.91069872490573,8.142299786816068,0.011445650687460576,0.011717777266338048,1.5873693523014183,0.004402043737426068,6.576540559159816,1.9341930344945804,-0.01637410995661295,-0.26307531139565105
1.5,199.91069872490573,8.142299786816068,0.011445650687460576,0.011717777266338048,1.5873693523014183,0.004402043737426068,6.576540559159816,1.9341930344945804,-0.015392010662705935,-0.2498316773384314
1.525,199.90721799921087,8.307281955363642,0.010508146997069513,0.011000940435256804,1.5876533587964052,0.0040076464676588675,6.624817501619591,1.927969922150662,-0.01615977091867018,-0.24801731017503084
1.55,199.90372282989452,8.473468843466385,0.009587589534361653,0.010287694952919986,1.587919484297808,0.003594055191492559,6.672939433260508,1.9217921689858288,-0.016927531174634424,-0.24620294301163023
1.575,199.9002156088046,8.640856657848671,0.008668584140033913,0.009562408861284472,1.588167599122633,0.0031612699089271475,6.720907488062042,1.9156597750000806,-0.017695291430598666,-0.24438857584822968
1.6,199.89669948507398,8.809441645987063,0.0077390198191519865,0.008812919425437455,1.5883973456605731,0.002709290619962624,6.768722800003672,1.9095727401934175,-0.018463051686562912,-0.2425742086848291
1.625,199.89317867598885,8.979220102675471,0.006792112135963063,0.008032557195634296,1.5886079837702136,0.002238117324599002,6.816386503064872,1.9035310645658392,-0.019230811942527157,-0.24075984152142849
1.65,199.88965787430357,9.150188359797912,0.005822374233710291,0.007215772236699141,1.58879867772413,0.0017467262249988567,6.863899730782103,1.8975346605380143,-0.019998572198491396,-0.23894547435802793
1.675,199.88614228079547,9.322342786876654,0.004825689091584113,0.006358216551041356,1.5889684807984163,0.0012344379477562046,6.911263615956309,1.8915834699939098,-0.020766332454455645,-0.23713110719462732
1.7,199.88263773479298,9.49567979307013,0.0038016983931891428,0.005459084782169924,1.5891162928314733,0.0007099782404383691,6.958479296073574,1.8856782393652063,-0.021534092710419887,-0.23531674003122674
1.725,199.87915027301966,9.670195818675348,0.0027489265642840033,0.004516308830244051,1.5892410359522098,0.00016737606777423794,7.005547906317377,1.8798184578681736,-0.022429687025239575,-0.23351330825080213
1.75,199.8756861360498,9.845887335080194,0.0016629072489306057,0.0035246407838105155,1.589341652683625,-0.0004145843269624459,7.052470573713246,1.8740023106310393,-0.02421755105676371,-0.23178620441582004
1.775,199.8722527699402,10.022750861278578,0.00052905929087988,0.0024681313714663934,1.5894167199396163,-0.0010423714037755855,7.099248378196791,1.868229244318581,-0.02600541508828784,-0.23005910058083795
1.8,199.8688589841902,10.200782965380911,-0.000663135224096909,0.0013347925974625825,1.5894644163972975,-0.0017148550813768306,7.145882395742474,1.8624993556019973,-0.02779327911981199,-0.22833199674585586
1.825,199.86551448056088,10.379980255018005,-0.0019207836380568562,0.00011599401537858481,1.5894827375593428,-0.0024320353597661847,7.192373705790191,1.8568126444812882,-0.02958114315133612,-0.22660489291087377
1.85,199.86222994657848,10.560339377839288,-0.003248113836037273,-0.001194296377527017,1.5894694603131811,-0.003193912238943642,7.238723387779838,1.8511691109564536,-0.03136900718286027,-0.22487778907589168
1.875,199.8590169026371,10.741857015883504,-0.004647622145356394,-0.0026006712589946245,1.5894222238540776,-0.004000485718909199,7.284932521151313,1.8455687550274937,-0.033156871214384404,-0.22315068524090959
1.9,199.85588758651872,10.924529880761487,-0.00612099371035825,-0.00410701935827573,1.5893385842230043,-0.004851755799662859,7.331002185344511,1.8400115766944083,-0.034944735245908534,-0.22142358140592747
1.925,199.85285499082946,11.108354712550444,-0.0076689911693877755,-0.005716481245095699,1.58921600094398,-0.005748058248808077,7.376933466769254,1.8344981585978186,-0.036732599277432686,-0.21969647757094538
1.95,199.84993285212758,11.29332827663455,-0.009291406875658173,-0.007431545403395705,1.5890518626055457,-0.006688435117857843,7.422727441663605,1.829026838457934,-0.038488446042981184,-0.21802493168602152
1.975,199.84713555707995,11.479447354766666,-0.010987024721109927,-0.009253788456132726,1.5888435253304234,-0.007671238904917246,7.468385130059996,1.8235947574476428,-0.04014856268778663,-0.2165195014610469
